1	Conoce a Fili	Identifica 3 plantas diferentes del jardin
2	Pequeños Riegos	Regar el huerto 
3	¿Quién es quién?	Encuentra las diferencias de la actividad 4
4	Gota a gota 	Investiga los diferentes grupos de animales que existen 
5	Pandis	Dibuja un fantasma
6	Nerds	Inventa un dulce
7	Bubulubu 	Investiga como se descubrio el fuego 
8	Dulce Sensación	investiga las partes de una computadora
9	Fuego	Escribe una bitacora de tu dia
10	Disco duro	Escribe un diario con tus aventuras
11	Ponle la cola al burro	Escribe una historia acerca del personaje Bricolity
12	Querido Diario	Escribe una cancion sobre tu vida
13	La bruja mala	Aprende 10 palabras en inglés
14	La la land 	Aprende 10 palabras en aleman
15	Hello	Aprende 10 palabras en Francés
16	Hallo	Aprende 10 palabras en Portugues
17	Bonjour	Aprende 10 palabras en Japones
18	Oi	Investiga cuánto vale una negra y una blanca en música
19	Ni Hao 	Aprende una receta con Limón y chile
20	Negras y Blancas	Investiga que se celebra el 24 de febrero
21	Limón y chile	Investiga que se celebra el 15 de mayo
22	24 de febrero	investiga que se celebra el 10 de mayo
23	15 d emayo	investiga qué se celebra el 1 de enero
24	10 de mayo	investiga que se celebra el 24 de diciembre
25	1 de enero	invetsiga qué se celebra el 16 de septiembre
26	24 de diciembre	Sin luz no existo, pero si me mira me muro ¿Quién soy?
27	16 de septiembre	Siempre estoy entre la tierra y el cielo. Suelo estar a distancia. Si intentas acertarte, me alejaré.
28	acertijo 	Investiga qué es twitter
29	adivinanza	Crea una cuenta en instagram
30	El pajarito 	Tómate una foto con tus mejores amigos
31	Hello moto	 ¿Qué pasaría si tuviéramos ocho dedos en las manos y en los pies? 
32	Click	¿Qué pasaría si no se hubieran extinguido los dinosaurios?
33	Te imaginas	¿Qué pasaría si el ser humano no tuviera que dormir?
34	preguntitas	¿Qué pasaría si fuéramos inmortales?
35	Preguntas2	¿Qué pasaría si la tierra se secara y no tuviéramos agua? ¿Qué harían?
36	¿qué pasaria?	Ayuda a Alia encontrar agua
37	Piensa un poco	Enlista 10 frutas diferentes
38	La sed de Ali	Enlista 10 Verduras diferentes
39	Frutilupis	¿qué nos vuelve mamíferos?
40	DuraVerdura	¿cuál es tu música preferida?
41	Mamifers	Comparte con tus amigos cuál es tu película favorita
42	blink 182	Intenta meditar
43	La historia de un heroe	Dona a moneda a una causa
44	Escáner Mental 	Inventa una secuencia de sonidos
45	UN KILO DE AYUDA	¿Conoces las canciones de cri cri? ESCUCHALAS
46	Tamborines	Escribe tu caricatura favorita
47	Cri cri 	Canta la canción del agua clara
48	TELE	Dibuja a tu perror
49	Agua clara	Canta la canción del agua clara
50	Wooof	Dibuja a tu perror